stars,text,publishedAtDate
1,"Mau makan disuruh buru2 order, mau nasi goreng aja tidak tersedia",2025-01-28T15:35:08.116Z
1,,2025-01-28T14:27:23.057Z
1,Kocak mesan barang pagi ke alamat toko tapi tokonya tutup aneh,2025-11-27T01:15:13.474Z
1,,2025-11-30T11:39:49.818Z
5,,
1,لا انصح فيه أبدا ويعتبر سي مع العلم ان الأم والبنت هم من يعملون الطبخ وياخذون وقت طويل جدا,2024-11-12T16:54:10.150Z
1,"Service nya kurang banget, waiters nya tidak ramah",2025-10-29T11:16:15.756Z
1,rude cashier 0/10,2025-10-28T12:36:10.514Z
5,,
5,,
3,,
4,,
1,The service was the worst of all. Waitress was looking down at us. For a place with that price range at least they should be welcoming.,2025-10-22T05:23:21.973Z
1,"nunggu lama,gak ada tempat duduknya.org suruh berdiri terus.",2025-11-27T12:50:27.134Z
1,"If you like getting a terrible stomachache, eat here. They legit serve you mie goreng instead of spagetthi and bi hoon instead of angel hair. Dont even think twice when you're at their restaurant just run away. I dont recommend eating here even if its the last restaurant on earth. And if you're gonna consider ordering from this place, dont. It takes 3 hours to get to your house. And heres an idea to the restaurant. Close :)",2020-04-15T08:15:11.700Z
1,Bakwan dengan MSG luar biasa. Mau begadang semalam suntuk? silahkan makan Bakwan Duta,2024-11-01T22:20:33.819Z
1,,2025-11-16T05:47:00.613Z
1,,2025-11-15T07:12:09.057Z
5,,
1,,2025-09-16T00:25:34.767Z
5,,
4,,
5,,
5,,
1,lousy service with rude waitress,2025-08-17T12:00:24.412Z
1,"resepsionis nya jutek banget, mentang2 cuma klaim birhday threat. pelayanannya juga lama banget di pending mulu, aku orderan no.15 belum dikasih lama banget, sedangkan orderan sampe no.21 udah ready terus makananya. ketika pembayaran dikasir juga untuk posisi mbanya tidak bagus karena membelakangi customer",2025-10-21T04:15:50.669Z
1,"minggu 30 nov 2025 sekitar jam 21, kasirnya laki2 agak tua, jutek banget kyk engga niat kerja.. tolong dong ditegur itu, kasar bahget",2025-11-30T16:48:20.534Z
5,,
5,,
1,"Tdi saya beli di toko ini.. pelayanan nya kurang menurutku .. harus bawa baki sendiri, tanya roti ini itu mbk nya cuek .. ada yg beli malah di lihatin aja .",2025-03-12T16:46:35.146Z
5,,
1,"Kecewa berat pokoknya, pesanan saya gak sampai 100 ribu, tapi bisa sampai 30 menit lebih, padahal kata driver saya, gak ada orang yang makan di tempat.
 
 Driver bilang malah di tinggal cuci piring.
 Bener kecewa saya.",2025-04-06T11:58:31.253Z
1,"Ordered a wrap, took 5 employees over 30min in an almost empty restaurant to prepare. I asked for a switch out of an ingredient, they said it was possible. While eating it, I realised they just left it out. The tempeh and falafel were almost raw, for that price straight up disappointing and bad.",2025-02-24T06:27:27.437Z
5,,
5,,
